"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.687564705882353,0,0,7.12412666127355e-05,0,0,-0.000200588235294118,1,1,NA,0,0,0.472816326352941
"h4",0,0,-0.291758431372549,0,0,6.89771291652221e-05,0,0,2e-04,1,1,0,0,0,0.0851918241568627
"g1",0,0,-0.647302745098039,0,0,6.9645336261027e-05,0,0,-0.000288039215686274,1,1,NA,0,0,0.419070352588235
"g4",0,0,-0.248848431372549,0,0,5.2466078084672e-05,0,0,1e-04,1,1,0,0,0,0.061977905
"c1",0,0,-0.770923725490196,0,0,0.00022751395465927,NA,0,-0.000387254901960784,NA,NA,NA,0,0,0.594550458372549
"c2",0,0,-0.880751764705882,0,0,6.0113700219577e-05,NA,NA,-1e-04,NA,NA,NA,0,0,0.775783666862745
"c3",0,0,-0.817800784313725,0,0,0.000202817681112524,NA,NA,-0.000297058823529412,NA,NA,NA,0,0,0.669000542823529
"c4",0,0,-0.847014509803922,0,0,7.19454079124774e-05,NA,0,-1e-04,NA,NA,NA,0,0,0.717505384156863
"b1",-1,0,-0.143229803921569,0,0,0.000129210269116684,NA,0,0.000187450980392157,NA,NA,0,1,0,0.0206437336470588
"b2",0,0,-0.119248235294118,0,0,6.0113700219577e-05,NA,NA,1e-04,NA,NA,0,0,0,0.0142801374509804
"b3",0,0,-0.18219862745098,0,0,0.000202824693593744,NA,NA,0.000297058823529412,NA,NA,0,0,0,0.0333987668431373
"b4",0,0,-0.0922217647058824,0,0,3.59712542470819e-05,NA,0,1.76470588235294e-06,NA,NA,0,0,0,0.00854075460784314
"r1",-0.000385490196078431,-0.000385490196078431,0.411754509803922,9.11841898378212e-05,9.11841898378212e-05,0.401619334586694,1e-04,0,-15205311681853.8,0.954901960784314,0.954901960784314,1,9.1154e-05,9.1154e-05,0.570373622039216
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
