"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",0.019077358490566,0.0124404901952162,0.0145820754716981,0.960691823899371,0.0127848752830189,2500
"Naive",-0.203694496855346,0.00602875567045511,0.00630691823899371,0.276729559748428,0.0475107245440252,3877.06132075472
"Plug-in",-0.0237176100628931,0.015336010020106,0.0160639937106918,0.965408805031447,0.0158744218238994,3877.06132075472
"Two-step 1",-0.0332595911949686,0.100135060333061,0.0218473270440252,0.639937106918239,0.101083815676101,2912.01257861635
"Two-step 2",-0.0332622641509434,0.100136851833606,0.0218473270440252,0.639937106918239,0.101085782169811,2912.01257861635
"Joint",0.13133144654088,20.1704141531198,-300369795.460628,1,20.1559476143082,3877.06132075472
