"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.00371312625250501,0.0133237384935267,0.0144680360721443,0.958917835671343,0.0133241753607214,2500
"Naive",-0.123920941883768,0.00759034715377596,0.00758386773547094,0.697394789579158,0.0229391414328657,4276.33567134269
"Plug-in",0.000143687374749499,0.013586579654193,0.0135719438877756,0.950901803607214,0.013572986492986,4276.33567134269
"Two-step 1",-0.00639028056112224,0.0447933907680255,0.0183833667334669,0.793587174348697,0.0447893432965932,3207.65631262525
"Two-step 2",-0.00639028056112224,0.0447933907680255,0.0183833667334669,0.793587174348697,0.0447893432965932,3207.65631262525
"Joint",-0.865114228456914,0.0584941510511092,1.91965130260521,1,0.806858167955912,4276.33567134269
