"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",0.018095751138088,0.0125757412889106,0.0145834597875569,0.960546282245827,0.012884114430956,2500
"Naive",-0.0959059180576631,0.00668860824759814,0.00642018209408194,0.773899848254932,0.0158764037329287,3876.51745068285
"Plug-in",-0.0274625189681335,0.0091547663589947,0.00880015174506829,0.937784522003035,0.00989506440060698,3876.51745068285
"Two-step 1",-0.390772989377845,0.881748396624941,1804.66699848255,0.279210925644917,1.03311391614568,2911.52959028832
"Two-step 2",-0.0263274658573596,0.0373936300195562,0.0117896813353566,0.714719271623672,0.0380300224886191,2911.52959028832
"Joint",0.251194992412747,20.8120267241542,-653285635.640111,1,20.8435444242033,3876.51745068285
