"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.5668819,0,0,6.85795219119119e-05,0,0,-0.0005253,1,1,NA,0,0,0.32142359949
"h4",0,0,-0.400574,0,0,6.76519559559559e-05,0,0,0.0003345,1,1,0,0,0,0.16052711378
"g1",0,0,-0.5285291,0,0,6.39073305205206e-05,0,0,-0.0013649,1,1,NA,0,0,0.27940685297
"g4",0,0,-0.3583128,0,0,5.69771933533534e-05,0,0,0.0002002,1,1,0,0,0,0.12844498286
"c1",0.0735275,-0.0006507,-0.6079866,8.20776113613614e-05,0.000845235174684685,0.000133152713153153,NA,0.0010577,-0.0003159,NA,NA,NA,0.00548828879,0.00084481335,0.36978072534
"c2",0.0104929,0.0104929,-0.6917126,0.00143750384343343,0.00143750384343343,8.76261874274274e-05,NA,NA,-0.0001168,NA,NA,NA,0.00154616729,0.00154616729,0.47855385956
"c3",0.0266657,0.0266657,-0.6545564,0.000879514167677678,0.000879514167677678,0.000131024143183183,NA,NA,-0.0002591,NA,NA,NA,0.00158969421,0.00158969421,0.4285749739
"c4",-0.0006536,-0.000654,-0.651431,0.000718536723763764,0.000718531195195195,8.90535725725726e-05,NA,0.0009275,-0.0001981,NA,NA,NA,0.00071824538,0.00071824038,0.42445131228
"b1",-0.0241773,0.0002976,-0.1554043,0.00141452263734735,0.000132349944184184,9.06062177277277e-05,NA,0.0001413,0.000164,NA,NA,0,0.00199764995,0.00013230616,0.02424101207
"b2",0.0002975,0.0002975,-0.1582874,0.00013234625,0.00013234625,8.76261874274274e-05,NA,NA,0.0001168,NA,NA,0,0.00013230241,0.00013230241,0.02514243956
"b3",-0.0108642,-0.0108642,-0.1954436,0.00175281845681682,0.00175281845681682,0.000131024143183183,NA,NA,0.0002591,NA,NA,0,0.00186909648,0.00186909648,0.0383290939
"b4",-0.0001874,-0.0001873,-0.1245847,8.36706118518518e-05,8.36744031131131e-05,5.85471630730731e-05,NA,0.0001003,1e-04,NA,NA,0,8.362206e-05,8.362581e-05,0.01557983609
"r1",0.0004853,0.0004853,0.0040332,0.0011232006946046,0.0011232006946046,0.0211432876454054,0.0011575,3.3e-06,99.590501,0.946,0.946,1,0.00112231301,0.00112231301,0.02113841106
"r2",-0.0001797,-0.0001797,-0.002893,0.00118852676467467,0.00118852676467467,0.0120973051161161,0.0011538,0,55.2605059,0.944,0.944,1,0.00118737053,0.00118737053,0.01209357726
"s1",-0.0004561,-0.0004561,0.001057,0.000390031694484485,0.000390031694484485,0.0111899821931932,0.0003999,0,54.4053776,0.949,0.949,0.999,0.00038984969,0.00038984969,0.01117990946
"s2",-0.0001517,-0.0001517,-0.0007336,0.00014931317028028,0.00014931317028028,0.00419133556660661,0.0001304,0,19.5812553,0.952,0.952,1,0.00014918687,0.00014918687,0.0041876824
