"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.566863827655311,0,0,6.85491115128954e-05,0,0,-0.000525450901803607,1,1,NA,0,0,0.321403079529058
"h4",0,0,-0.400590981963928,0,0,6.76399386536362e-05,0,0,0.000334569138276553,1,1,0,0,0,0.160540706993988
"g1",0,0,-0.528511923847695,0,0,6.38875507584879e-05,0,0,-0.00136583166332665,1,1,NA,0,0,0.279388677184369
"g4",0,0,-0.358328256513026,0,0,5.69561917415573e-05,0,0,0.000200200400801603,1,1,0,0,0,0.128456038537074
"c1",0,0,-0.714975951903808,0,0,0.000142553062031787,NA,0,-0.000305911823647295,NA,NA,NA,0,0,0.511333022024048
"c2",0,0,-0.813944188376754,0,0,8.33583764218507e-05,NA,NA,-0.000100100200400802,NA,NA,NA,0,0,0.662588416643287
"c3",0,0,-0.769801603206413,0,0,0.000131120438751123,NA,NA,-0.000214929859719439,NA,NA,NA,0,0,0.592725497354709
"c4",0,0,-0.7665,0,0,8.86495285857573e-05,NA,0,-0.000174849699398798,NA,NA,NA,0,0,0.587610810701403
"b1",-1,0,-0.183118036072144,0,0,8.55757024580756e-05,NA,0,0.00010250501002004,NA,NA,0,1,0,0.0336177050901804
"b2",0,0,-0.186055811623246,0,0,8.33583764218507e-05,NA,NA,0.000100100200400802,NA,NA,0,0,0,0.0347000398897796
"b3",0,0,-0.230198396793587,0,0,0.000131120438751123,NA,NA,0.000214929859719439,NA,NA,0,0,0,0.0531222909418838
"b4",0,0,-0.146400200400802,0,0,5.26255365696287e-05,NA,0,1e-04,NA,NA,0,0,0,0.0214855914829659
"r1",0.000546593186372745,0.000546593186372745,-0.0193035070140281,0.0011235083685224,0.0011235083685224,0.0116157247921018,0.00115721442885772,3.30661322645291e-06,68.9726477955912,0.945891783567134,0.945891783567134,1,0.00112268137274549,0.00112268137274549,0.0119767111723447
"r2",-0.000258416833667335,-0.000258416833667335,-0.0199553106212425,0.00118738209057031,0.00118738209057031,0.00736653711820833,0.00115380761523046,0,38.0080452905812,0.943887775551102,0.943887775551102,1,0.00118625910821643,0.00118625910821643,0.00775737024048096
"s1",-0.000453807615230461,-0.000453807615230461,-0.0165270541082164,0.000390423892207685,0.000390423892207685,0.00617354372070118,0.000399899799599198,0,38.0648902805611,0.948897795591182,0.948897795591182,1,0.000390238627254509,0.000390238627254509,0.00644050132264529
"s2",-0.000141382765531062,-0.000141382765531062,-0.0113294589178357,0.000149500923662772,0.000149500923662772,0.00206843064584535,0.000130460921843687,0,13.2215455911824,0.95190380761523,0.95190380761523,1,0.000149371112224449,0.000149371112224449,0.00219471470941884
