"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.00468834080717489,0.00468834080717489,-0.5045644245142,0.00161428962433877,0.00161428962433877,6.89686426698173e-05,0.00154454409566517,0.00226636771300448,-0.000235724962630792,0.926756352765321,0.926756352765321,NA,0.00163385717488789,0.00163385717488789,0.254654124035874
"h4",-0.000495814648729447,-0.000495814648729447,-0.222186995515695,0.000754959832756013,0.000754959832756013,6.7692630031417e-05,0.000746337817638266,0.000953064275037369,0.000200298953662182,0.93423019431988,0.93423019431988,0,0.000754077174887892,0.000754077174887892,0.0494346524215247
"g1",-0.000409566517189836,-0.000409417040358744,-0.482636472346786,0.000586711764632171,0.000586710015977015,7.14858234651772e-05,0.000588938714499253,0.000852017937219731,-0.000294618834080717,0.956651718983557,0.956651718983557,NA,0.000586002511210762,0.000586000642750374,0.233009343408072
"g4",0.000247982062780269,0.000247982062780269,-0.194794768310912,0.000163109385891893,0.000163109385891893,5.47475324686949e-05,0.00017473841554559,0.000207174887892377,0.000130194319880419,0.947683109118087,0.947683109118087,0,0.000162927070254111,0.000162927070254111,0.0379996674588939
"c1",0,0,-0.695062331838565,0,0,0.000200169028087323,0,0,-0.00052914798206278,1,1,NA,0,0,0.483311514962631
"c2",0,0,-0.803016292974589,0,0,9.06170545008638e-05,0,0,-0.000105829596412556,1,1,NA,0,0,0.64492564838565
"c3",0,0,-0.735196263079223,0,0,0.000189146737511524,0,0,-0.000426457399103139,1,1,NA,0,0,0.540702409252616
"c4",0,0,-0.7650533632287,0,0,9.19413846298434e-05,0,0,-0.000191330343796712,1,1,NA,0,0,0.585398452541106
"b1",0,0,-0.21452197309417,0,0,0.000141300040412449,0,0,0.000260089686098655,1,1,0,0,0,0.0461607657698057
"b2",0,0,-0.189005381165919,0,0,8.64050907601837e-05,0,0,0.000100597907324365,1,1,0,0,0,0.035809310044843
"b3",0,0,-0.241880418535127,0,0,0.000175787056111991,0,0,0.000348430493273543,1,1,0,0,0,0.0586816611659193
"b4",0,0,-0.15340956651719,0,0,5.77877526561227e-05,0,0,1e-04,1,1,0,0,0,0.0235921964723468
"r1",-0.00701001494768311,-0.00701001494768311,5.4319023916293,0.000588945333682411,0.000588945333682411,14.7389291437368,0.000708520179372197,0,5760.94592122571,0.956651718983557,0.956651718983557,0.988041853512706,0.000637205306427504,0.000637205306427504,44.222461451704
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",-0.000749626307922272,-0.000749626307922272,-0.124815844544096,8.61649886326003e-05,8.61649886326003e-05,0.020019654359353,1e-04,0,8.20107802690583,0.96711509715994,0.96711509715994,0.898355754857997,8.65981315396114e-05,8.65981315396114e-05,0.0355687246636771
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
