"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.00314777636594663,0.0127740762641331,0.0144645489199492,0.964421855146125,0.0127677534053367,2500
"Naive",-0.231706607369759,0.00882681120310646,0.0087853875476493,0.304955527318933,0.0625035473316391,3543.15120711563
"Plug-in",-0.00185857687420584,0.0293953818188373,0.0293689961880559,0.961880559085133,0.0293614849428208,3543.15120711563
"Two-step 1",-0.0137534942820839,0.129231954348461,0.0417453621346887,0.736975857687421,0.129256904625159,2658.09656925032
"Two-step 2",-0.0137534942820839,0.129231954348461,0.0417453621346887,0.736975857687421,0.129256904625159,2658.09656925032
"Joint",-2.39684510800508,1.80696349614334,1958.73352109276,0.68869123252859,7.54953395330369,3543.15120711563
