"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.00405070140280561,0.0133140303254855,0.0144687374749499,0.958917835671343,0.0133170977955912,2500
"Naive",-0.231963827655311,0.00568849464812273,0.00542875751503006,0.12124248496994,0.0594900120941884,4591.80861723447
"Plug-in",-0.000858617234468938,0.00554054672105495,0.00532605210420842,0.943887775551102,0.00553573229458918,4591.80861723447
"Two-step 1",-12.2757748496994,4.3989594931582,24311.9600844689,0.995991983967936,155.089199878627,3444.25450901804
"Two-step 2",-0.00261042084168337,0.0141971277348277,0.00710480961923848,0.840681362725451,0.0141897164529058,3444.25450901804
"Joint",-0.572386472945892,0.0435695659452204,1.28381743486974,1,0.371152183476954,4591.80861723447
