"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.56662676056338,0,0,6.60041887059031e-05,0,0,-0.000569953051643192,1,1,NA,0,0,0.321131786682316
"h4",0,0,-0.40958951486698,0,0,6.44533851874745e-05,0,0,0.000412519561815336,1,1,0,0,0,0.167827923208138
"g1",0,0,-0.521256807511737,0,0,6.15656236478431e-05,0,0,-0.002058934169279,1,1,0.166666666666667,0,0,0.271770128654147
"g4",0,0,-0.358000938967136,0,0,5.30861746655481e-05,0,0,0.000201721439749609,1,1,0,0,0,0.128217675399061
"c1",0,0,-0.770512676056338,0,0,0.000122752425272639,NA,0,-0.000212676056338028,NA,NA,NA,0,0,0.59381234428795
"c2",0,0,-0.880706259780908,0,0,6.05861363023141e-05,NA,NA,-1e-04,NA,NA,NA,0,0,0.775704007339593
"c3",0,0,-0.817269327073552,0,0,0.000107924637634235,NA,NA,-0.000196870109546166,NA,NA,NA,0,0,0.668036908716745
"c4",0,0,-0.847324726134585,0,0,6.83707042744099e-05,NA,0,-1e-04,NA,NA,NA,0,0,0.718027455226917
"b1",-1,0,-0.143458685446009,0,0,6.84941838491766e-05,NA,0,1e-04,NA,NA,0,1,0,0.0206487814241002
"b2",0,0,-0.119293740219092,0,0,6.05861363023141e-05,NA,NA,1e-04,NA,NA,0,0,0,0.0142914877777778
"b3",0,0,-0.182730672926448,0,0,0.000107924637634235,NA,NA,0.000196870109546166,NA,NA,0,0,0,0.0334982545696401
"b4",0,0,-0.0922505477308294,0,0,3.62230051854141e-05,NA,0,1.56494522691706e-06,NA,NA,0,0,0,0.00854632987480438
"r1",-0.000419405320813772,-0.000419405320813772,0.0789549295774648,0.000341541378329188,0.000341541378329188,0.0322308984356925,3e-04,0,101.932346948357,0.943661971830986,0.943661971830986,0.993740219092332,0.000341182785602504,0.000341182785602504,0.0384143397496088
"r2",-0.000217057902973396,-0.000217057902973396,0.0462186228482003,0.000137237592584416,0.000137237592584416,0.0121309114551538,1e-04,0,36.3215683881064,0.940532081377152,0.940532081377152,0.993740219092332,0.000137069937402191,0.000137069937402191,0.0142480883411581
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
