"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",0.0173460388639761,0.0125769759910224,0.0145874439461883,0.961136023916293,0.0128590613901345,2500
"Naive",-0.128785351270553,0.00646004753958451,0.00661255605381166,0.638266068759342,0.0230360579671151,3876.91180866966
"Plug-in",0.00865351270553064,0.0118801719824029,0.0121762331838565,0.953662182361734,0.0119372971599402,3876.91180866966
"Two-step 1",-0.0121303437967115,0.0386506067275762,0.0162982062780269,0.79372197309417,0.0387399782660688,2911.9730941704
"Two-step 2",-0.0121303437967115,0.0386506067275762,0.0162982062780269,0.79372197309417,0.0387399782660688,2911.9730941704
"Joint",0.26274379671151,21.4457683074353,-362135501.147064,1,21.4827461552765,3876.91180866966
