"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.00213406813627255,0.00213416833667335,-0.424141583166333,0.00156531324140759,0.00156531155953833,6.96355710116321e-05,0.00154078156312625,0.0022749498997996,-0.000508617234468938,0.938877755511022,0.938877755511022,NA,0.00156829903807615,0.00156829778557114,0.179965648366733
"h4",-0.00037064128256513,-0.000370741482965932,-0.307945691382766,0.00121525294863549,0.00121526415812568,6.99122131122827e-05,0.00122024048096192,0.00158156312625251,0.000404909819639279,0.915831663326653,0.915831663326653,0,0.00121417263527054,0.00121418390781563,0.094900391002004
"g1",-0.000580360721442886,-0.000580360721442886,-0.390320440881764,0.00032389385664006,0.00032389385664006,6.56396820521685e-05,0.000346993987975952,0.000502204408817635,-0.000903406813627254,0.955911823647295,0.955911823647295,NA,0.000323906132264529,0.000323906132264529,0.152415620480962
"g4",-2.58517034068136e-05,-2.58517034068136e-05,-0.269225851703407,0.000160456181570764,0.000160456181570764,5.82129318215166e-05,0.000175951903807615,0.000207715430861723,0.000222044088176353,0.950901803607214,0.950901803607214,0,0.000160296072144289,0.000160296072144289,0.0725407138276553
"c1",-4.19839679358717e-05,-4.22845691382765e-05,-0.667997595190381,0.00133102675112512,0.00133104803971031,0.000130391508754721,0.00129679358717435,0.00168266533066132,-0.000227454909819639,0.927855711422846,0.927855711422846,NA,0.00132969481963928,0.00132971611222445,0.446351048036072
"c2",-0.00306002004008016,-0.00306002004008016,-0.73804869739479,0.00848099955345998,0.00848099955345998,7.45765629956e-05,0.00757254509018036,0.012645281124498,-1e-04,0.703406813627255,0.703406813627255,NA,0.00848186528056112,0.00848186528056112,0.544790381563126
"c3",-1.70340681362512e-06,-1.70340681362512e-06,-0.698976452905812,0.0138079201876672,0.0138079201876672,0.000122993697736496,0.0113926853707415,0.019568213925328,-0.000200300601202405,0.525050100200401,0.525050100200401,NA,0.0137940845991984,0.0137940845991984,0.488690952174349
"c4",-0.000122545090180361,-0.00012314629258517,-0.717373146292585,0.00135839081518101,0.00135839568236774,7.70515349254175e-05,0.00135541082164329,0.00176352705410822,-0.000100100200400802,0.920841683366733,0.920841683366733,NA,0.00135704471943888,0.00135704972945892,0.514701205350701
"b1",0.000414629258517034,0.00041503006012024,-0.119100400801603,0.00015088177172801,0.000150886453910831,8.7200521403891e-05,0.000149799599198397,0.000168036072144289,0.000101402805611222,0.943887775551102,0.943887775551102,0,0.00015090250501002,0.00015090751503006,0.0142720186172345
"b2",-0.000222444889779559,-0.000221943887775551,-0.104165831663327,0.000911482745470882,0.000911489237140279,7.08719005614036e-05,0.000854008016032064,0.000993787575150301,1e-04,0.889779559118236,0.889779559118236,0,0.000910618917835671,0.000910625180360721,0.0109213213727455
"b3",-0.000960521042084168,-0.000960220440881763,-0.141372845691383,0.000866878018584813,0.000866889880392681,0.000115315019175764,0.000886973947895792,0.00102915831663327,0.000199198396793587,0.898797595190381,0.898797595190381,0,0.000866932004008016,0.000866943276553106,0.0201014809719439
"b4",-0.000114128256513026,-0.000113827655310621,-0.0850027054108216,9.19912645853392e-05,9.19875718940388e-05,5.05445162441232e-05,0.000100100200400802,0.000103707414829659,1e-04,0.95190380761523,0.95190380761523,0,9.19121142284569e-05,9.19083567134269e-05,0.00727595379759519
"r1",-0.000658917835671343,-0.000658917835671343,0.0246809619238477,0.000338356906350313,0.000338356906350313,0.00647059618683706,3e-04,0,52.9619881763527,0.945891783567134,0.945891783567134,1,0.000338452044088176,0.000338452044088176,0.00707326250501002
"r2",-0.000104208416833667,-0.000104208416833667,0.0141003006012024,0.000136453964217301,0.000136453964217301,0.00203880907714124,1e-04,0,18.4647338677355,0.939879759519038,0.939879759519038,1,0.000136328096192385,0.000136328096192385,0.00223558465931864
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
