"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.003875,0.0133134935685686,0.0144692,0.959,0.0133151957,2500
"Naive",-0.134501,0.00653161823723724,0.0065747,0.618,0.02461560562,4276.22
"Plug-in",-0.0044302,0.0121408894574174,0.0122412,0.951,0.01214837524,4276.22
"Two-step 1",-0.6488299,4.80845144500099,2902.7408534,0.533,5.22462323269,3207.606
"Two-step 2",0.0036068,0.0384465193130731,0.0166938,0.808,0.0384210818,3207.606
"Joint",-0.9633783,0.0598608974365465,1.4302814,1,0.98789878545,4276.22
