"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.0011093,0.0011094,-0.4248515,0.00118915379730731,0.00118915232396396,6.45104682182182e-05,0.0011534,0.0016926,-0.0004642,0.925,0.925,NA,0.00118919519,0.00118919394,0.18056324301
"h4",-0.0004033,-0.0004033,-0.3007193,0.000711050129239239,0.000711050129239239,6.41435810910911e-05,0.0007236,0.0009251,0.0003356,0.94,0.94,0,0.00071050173,0.00071050173,0.09049617683
"g1",-0.0005548,-0.0005547,-0.3961945,0.000323594091051051,0.000323592950860861,6.13615613113113e-05,0.0003469,0.0005022,-0.0007266,0.956,0.956,NA,0.0003235783,0.00032357705,0.15703138203
"g4",-3.49e-05,-3.49e-05,-0.2689815,0.000160181293283283,0.000160181293283283,5.52431509009009e-05,0.000176,0.0002077,0.0002055,0.951,0.951,0,0.00016002233,0.00016002233,0.07240623525
"c1",0,0,-0.728224,0,0,0.000138382426426426,0,0,-0.0002963,1,1,NA,0,0,0.53044843822
"c2",0,0,-0.8027838,0,0,8.67278454054054e-05,0,0,-0.0001017,1,1,NA,0,0,0.64454847066
"c3",0,0,-0.7693581,0,0,0.000130249343733734,0,0,-0.0002155,1,1,NA,0,0,0.59204200513
"c4",0,0,-0.7668058,0,0,8.88421485085085e-05,0,0,-0.0001746,1,1,NA,0,0,0.58807988822
"b1",0,0,-0.1834487,0,0,9.00238421521522e-05,0,0,0.0001106,1,1,0,0,0,0.03374335935
"b2",0,0,-0.1856763,0,0,8.06365048148148e-05,0,0,1e-04,1,1,0,0,0,0.03455624425
"b3",0,0,-0.2155515,0,0,0.000122084342092092,0,0,0.0002004,1,1,0,0,0,0.04658441141
"b4",0,0,-0.153541,0,0,5.61925915915916e-05,0,0,1e-04,1,1,0,0,0,0.02363097508
"r1",0.0004853,0.0004853,-0.0163983,0.0011232006946046,0.0011232006946046,0.00656533235946947,0.0011575,3.3e-06,67.0254976,0.946,0.946,0.998998998998999,0.00112231301,0.00112231301,0.00682767127
"r2",-0.0001797,-0.0001797,-0.0158544,0.00118852676467467,0.00118852676467467,0.00417174350414414,0.0011538,0,36.7705892,0.944,0.944,0.998998998998999,0.00118737053,0.00118737053,0.00441893376
"s1",-0.0004561,-0.0004561,-0.0138865,0.000390031694484485,0.000390031694484485,0.00335622401176176,0.0003999,0,37.0678149,0.949,0.949,0.998998998998999,0.00038984969,0.00038984969,0.00354570267
"s2",-0.0001517,-0.0001517,-0.0091371,0.00014931317028028,0.00014931317028028,0.00109611843202202,0.0001304,0,12.9516078,0.952,0.952,0.998998998998999,0.00014918687,0.00014918687,0.00117850891
