"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.003875,0.0133134935685686,0.0144692,0.959,0.0133151957,2500
"Naive",-0.2976462,0.0056645363419019,0.0054544,0.017,0.09425213218,4591.752
"Plug-in",0.000121,0.0096762227017017,0.0094368,0.952,0.00966656112,4591.752
"Two-step 1",-0.0068919,0.0376828728172072,0.0127456,0.747,0.03769268823,3444.22
"Two-step 2",-0.0068919,0.0376828728172072,0.0127456,0.747,0.03769268823,3444.22
"Joint",-0.5764188,0.0688526215080681,2.2577166,1,0.40104240188,4591.752
