"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.673160724637681,0,0,7.21587599966345e-05,0,0,-0.000201304347826087,1,1,NA,0,0,0.453217415376812
"h4",0,0,-0.295925362318841,0,0,6.7116612713237e-05,0,0,0.000197826086956522,1,1,0,0,0,0.0876388394057971
"g1",0,0,-0.643799130434783,0,0,7.23126262384047e-05,0,0,-0.000259275362318841,1,1,NA,0,0,0.414549528173913
"g4",0,0,-0.259556376811594,0,0,5.43132321364717e-05,0,0,1e-04,1,1,0,0,0,0.0674237472608696
"c1",0,0,-0.666410434782609,0,0,0.000236772953366568,NA,0,-0.000689130434782609,NA,NA,NA,0,0,0.444339297391304
"c2",0,0,-0.813937246376812,0,0,8.35881752802844e-05,NA,NA,-0.000100144927536232,NA,NA,NA,0,0,0.662577308072464
"c3",0,0,-0.726106376811594,0,0,0.00023015702749206,NA,NA,-0.00049463768115942,NA,NA,NA,0,0,0.527460293913043
"c4",0,0,-0.767709710144928,0,0,8.67223584064282e-05,NA,0,-0.000172028985507246,NA,NA,NA,0,0,0.589464795724638
"b1",-1,0,-0.220582173913043,0,0,0.000155898215876822,NA,0,0.000286376811594203,NA,NA,0,1,0,0.0488121677246377
"b2",0,0,-0.186062753623188,0,0,8.35881752802844e-05,NA,NA,0.000100144927536232,NA,NA,0,0,0,0.0347028153188406
"b3",0,0,-0.273893623188406,0,0,0.000230157027492059,NA,NA,0.00049463768115942,NA,NA,0,0,0,0.0752475402898551
"b4",0,0,-0.146364057971014,0,0,5.22905495467071e-05,NA,0,1e-04,NA,NA,0,0,0,0.0214746522318841
"r1",-0.00605710144927536,-0.00605710144927536,5.48071275362319,0.000614466865316253,0.000614466865316253,14.5822552318836,0.000708115942028985,0,5857.44744811594,0.957971014492754,0.957971014492754,0.992743105950653,0.000650264811594203,0.000650264811594203,44.5993338163768
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",-0.000965797101449275,-0.000965797101449275,-0.122788695652174,8.64235889863486e-05,8.64235889863486e-05,0.0199379027747839,1e-04,0,8.4259415942029,0.966666666666667,0.966666666666667,0.910144927536232,8.72311014492754e-05,8.72311014492754e-05,0.0349860710434783
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
