"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.0011093,0.0011094,-0.4248515,0.00118915379730731,0.00118915232396396,6.45104682182182e-05,0.0011534,0.0016926,-0.0004642,0.925,0.925,NA,0.00118919519,0.00118919394,0.18056324301
"h4",-0.0004033,-0.0004033,-0.3007193,0.000711050129239239,0.000711050129239239,6.41435810910911e-05,0.0007236,0.0009251,0.0003356,0.94,0.94,0,0.00071050173,0.00071050173,0.09049617683
"g1",-0.0005548,-0.0005547,-0.3961945,0.000323594091051051,0.000323592950860861,6.13615613113113e-05,0.0003469,0.0005022,-0.0007266,0.956,0.956,NA,0.0003235783,0.00032357705,0.15703138203
"g4",-3.49e-05,-3.49e-05,-0.2689815,0.000160181293283283,0.000160181293283283,5.52431509009009e-05,0.000176,0.0002077,0.0002055,0.951,0.951,0,0.00016002233,0.00016002233,0.07240623525
"c1",-0.0003311,-0.0003315,-0.6192082,0.00101626142421421,0.00101626866641642,0.000131623015775776,0.0009669,0.0012466,-0.0003033,0.925,0.925,NA,0.00101535479,0.00101536229,0.38355028634
"c2",-0.0031176,-0.0031176,-0.6822487,0.005986564754995,0.005986564754995,8.9800699009009e-05,0.0056688,0.0090423,-0.0001401,0.804,0.804,NA,0.00599029762,0.00599029762,0.46555299955
"c3",-0.0011964,-0.0011964,-0.6541829,0.00782956124828829,0.00782956124828829,0.000130507925515516,0.0072228,0.0124776776776777,-0.0002618,0.711,0.711,NA,0.00782316306,0.00782316306,0.42808564407
"c4",-0.0006171,-0.0006171,-0.6516801,0.000806225182772773,0.000806225182772773,8.85675815715716e-05,0.0008066,0.0010332,-0.0001985,0.936,0.936,NA,0.00080579977,0.00080579977,0.42477543175
"b1",0.0004379,0.0004384,-0.1556665,0.000150857851441441,0.000150863669109109,9.35845122622623e-05,0.0001497,0.0001679,0.0001831,0.944,0.944,0,0.00015089875,0.000150905,0.02432555015
"b2",-0.0002435,-0.0002428,-0.1579774,0.000912967545295295,0.00091298164980981,8.51061954354354e-05,0.0008545,0.0009945,0.0001065,0.89,0.89,0,0.00091211387,0.00091212762,0.02504188
"b3",-0.0009487,-0.0009484,-0.1830344,0.000865435153463464,0.000865446984424424,0.000123079376016016,0.0008869,0.0010288,0.0002118,0.899,0.899,0,0.00086546975,0.000865481,0.03362454788
"b4",-0.00011,-0.0001098,-0.1306453,9.19884284284284e-05,9.19809649249249e-05,6.20951931031031e-05,0.0001001,0.0001037,1e-04,0.952,0.952,0,9.190854e-05,9.190104e-05,0.01713022751
"r1",0.0004853,0.0004853,0.0066343,0.0011232006946046,0.0011232006946046,0.00514127426777778,0.0011575,3.3e-06,-620.0281131,0.946,0.946,1,0.00112231301,0.00112231301,0.00518014693
"r2",-0.0001797,-0.0001797,0.0013238,0.00118852676467467,0.00118852676467467,0.0031241470406006,0.0011538,0,-366.5532546,0.944,0.944,1,0.00118737053,0.00118737053,0.00312277534
"s1",-0.0004561,-0.0004561,0.0036778,0.000390031694484485,0.000390031694484485,0.00274740571287287,0.0003999,0,-308.4498786,0.949,0.949,1,0.00038984969,0.00038984969,0.00275818452
"s2",-0.0001517,-0.0001517,0.0012473,0.00014931317028028,0.00014931317028028,0.000810596669379379,0.0001304,0,-134.2210025,0.952,0.952,1,0.00014918687,0.00014918687,0.00081134183
