"Estimate","Emprical_bias","Emprical_var","Avg_model_var","Coverage","Empirical_MSE","Sample_size"
"Validation",-0.003875,0.0133134935685686,0.0144692,0.959,0.0133151957,2500
"Naive",-0.2883527,0.00505075002273273,0.005102,0.022,0.08819297887,4591.752
"Plug-in",-0.0036946,0.00774375030114114,0.0077965,0.95,0.00774965662,4591.752
"Two-step 1",-0.3293865,1.11690331502277,435.8230862,0.492,1.22428187809,3444.22
"Two-step 2",-0.0023707,0.0293372179694795,0.0104896,0.75,0.02931350097,3444.22
"Joint",-0.703603,0.0645119724234234,1.8432749,1,0.55950464206,4591.752
