"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.00389135483870968,0.00389135483870968,-0.515665548387097,0.00258364265126282,0.00258364265126282,7.68365505709761e-05,0.00257896774193548,0.00390206451612903,-0.000244387096774194,0.916129032258065,0.916129032258065,NA,0.00259545156129032,0.00259545156129032,0.2659876952
"h4",-0.000766064516129032,-0.000766322580645161,-0.218833548387097,0.00123651043604234,0.00123653910984413,7.5061146953405e-05,0.00122012903225806,0.00158606451612903,0.000203741935483871,0.918709677419355,0.918709677419355,0,0.00123550179354839,0.00123553082580645,0.0479630861935484
"g1",-0.000696516129032258,-0.000696387096774194,-0.485555741935484,0.000620055452963241,0.000620054017937818,7.71614883054097e-05,0.000589806451612903,0.000856774193548387,-0.000302193548387097,0.947096774193548,0.947096774193548,NA,0.000619740516129032,0.000619738903225806,0.235841440451613
"g4",-0.000126064516129032,-0.000126193548387097,-0.186618709677419,0.000160557097541052,0.000160555449962491,5.8436096524131e-05,0.000176,0.000207870967741935,0.000145935483870968,0.953548387096774,0.953548387096774,0,0.000160365819354839,0.000160364206451613,0.0348849034967742
"c1",0,0,-0.793362580645161,0,0,0.000177328597982829,0,0,-0.000308516129032258,1,1,NA,0,0,0.629601284154839
"c2",0,0,-0.873103096774194,0,0,6.90714632658164e-05,0,0,-1e-04,1,1,NA,0,0,0.762377999935484
"c3",0,0,-0.824103870967742,0,0,0.000160353680086688,0,0,-0.000261032258064516,1,1,NA,0,0,0.679307336916129
"c4",0,0,-0.845201935483871,0,0,7.574615903976e-05,0,0,-1e-04,1,1,NA,0,0,0.714441960167742
"b1",0,0,-0.139101548387097,0,0,0.000109243770209219,0,0,0.000170451612903226,1,1,0,0,0,0.0194583435741935
"b2",0,0,-0.121253935483871,0,0,6.52059244144369e-05,0,0,1e-04,1,1,0,0,0,0.0147676386580645
"b3",0,0,-0.158725935483871,0,0,0.000140687220538468,0,0,0.00020541935483871,1,1,0,0,0,0.025334428283871
"b4",0,0,-0.0969341935483871,0,0,4.18060256730849e-05,0,0,2.45161290322581e-05,1,1,0,0,0,0.00943798996129032
"r1",-0.000413032258064516,-0.000413032258064516,0.0704141935483871,9.19894811036092e-05,9.19894811036092e-05,0.350581562459782,1e-04,0,-11428504787729.7,0.948387096774194,0.948387096774194,1,9.20413806451613e-05,9.20413806451613e-05,0.355087357806452
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
