"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0,0,-0.5659806,0,0,7.43472909309309e-05,0,0,-0.0005773,1,1,NA,0,0,0.32040831252
"h4",0,0,-0.4101847,0,0,7.40424984084084e-05,0,0,0.0004156,1,1,0,0,0,0.16832545657
"g1",0,0,-0.5207103,0,0,6.81401640740741e-05,0,0,-0.0020014014014014,1,1,0.181818181818182,0,0,0.27120728855
"g4",0,0,-0.3586238,0,0,6.02623759359359e-05,0,0,0.0002023,1,1,0,0,0,0.12867123204
"c1",0.0777405,-0.0004034,-0.6555727,8.70087585085085e-05,0.00112150235079079,0.000130837061771772,NA,0.0014294,-0.0002563,NA,NA,NA,0.00613050709,0.00112054358,0.42990627121
"c2",0.0107487,0.0107487,-0.7485995,0.00189851070901902,0.00189851070901902,7.38315012512512e-05,NA,NA,-1e-04,NA,NA,NA,0.00201214675,0.00201214675,0.56047496907
"c3",0.032467,0.032467,-0.6952623,0.000944106317317317,0.000944106317317317,0.000122349338048048,NA,NA,-0.0002005,NA,NA,NA,0.0019972683,0.0019972683,0.48351189279
"c4",-0.0002693,-0.0002695,-0.7200367,0.00123149037788789,0.00123150028003003,7.74783214314314e-05,NA,0.0015819,-1e-04,NA,NA,NA,0.00123033141,0.00123034141,0.51853025019
"b1",-0.0275641,0.0002976,-0.1214784,0.00316449873992993,0.000132349944184184,8.42296430830831e-05,NA,0.0001413,0.0001007,NA,NA,0,0.00392111385,0.00013230616,0.01484114708
"b2",0.0002975,0.0002975,-0.1014005,0.00013234625,0.00013234625,7.38315012512512e-05,NA,NA,1e-04,NA,NA,0,0.00013230241,0.00013230241,0.01035581907
"b3",-0.0139971,-0.0139971,-0.1547377,0.00331304204363363,0.00331304204363363,0.000122349338048048,NA,NA,0.0002005,NA,NA,0,0.00350564781,0.00350564781,0.02406598279
"b4",-0.0001874,-0.0001873,-0.0784507,8.36706118518518e-05,8.36744031131131e-05,4.79727522622623e-05,NA,0.0001003,9.98e-05,NA,NA,0,8.362206e-05,8.362581e-05,0.00620243711
"r1",-0.0007005,-0.0007005,-0.0137448,0.000338682772522523,0.000338682772522523,0.0273040361491091,3e-04,0,55.4130114,0.946,0.946,0.987,0.00033883479,0.00033883479,0.02746565164
"r2",-0.0001218,-0.0001218,-0.0094172,0.000136412317077077,0.000136412317077077,0.00947249706122122,1e-04,0,19.4358856,0.94,0.94,0.987,0.00013629074,0.00013629074,0.00955170822
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
