"Parameter","Emp_bias1","Emp_bias2","Emp_bias3","Emp_var1","Emp_var2","Emp_var3","Avg_mod_var1","Avg_mod_var2","Avg_mod_var3","Cov1","Cov2","Cov3","Emp_MSE1","Emp_MSE2","Emp_MSE3"
"h1",0.00296581956797967,0.00296607369758577,-0.515360864040661,0.00258279683275621,0.00258280804601492,7.62371432728401e-05,0.00258030495552732,0.0039143583227446,-0.000244980940279543,0.916137229987294,0.916137229987294,NA,0.00258831109275731,0.00258832379923761,0.265672960457433
"h4",-0.000220838627700127,-0.000220965692503177,-0.219110165184244,0.00117040567206935,0.00117041992883724,7.50512451380738e-05,0.00121753494282084,0.00157611181702668,0.000204320203303685,0.917407878017789,0.917407878017789,0,0.00116896726810673,0.00116898156289708,0.0480842203684879
"g1",-0.000522236340533672,-0.000522109275730623,-0.48527001270648,0.000583484123236693,0.000583482665774303,7.90202446563269e-05,0.000588310038119441,0.000854129606099111,-0.000302414231257942,0.958068614993647,0.958068614993647,NA,0.000583015451080051,0.000583013862770013,0.235565905069886
"g4",-0.000126302414231258,-0.000126302414231258,-0.186851969504447,0.000158887538854994,0.000158887538854994,6.02417359380001e-05,0.000176365946632783,0.000207242693773825,0.000146886912325286,0.951715374841169,0.951715374841169,0,0.000158701601016518,0.000158701601016518,0.0349738236975858
"c1",0.000144980940279543,0.000144853875476493,-0.674463659466328,0.00228374359755053,0.00228372614078651,0.000202523130611625,0.00216848792884371,0.00290393900889454,-0.000351842439644219,0.89707750952986,0.89707750952986,NA,0.00228086278271919,0.00228084531130877,0.455103493735705
"c2",-0.0053554002541296,-0.0053554002541296,-0.742091867852605,0.0165999933391208,0.0165999933391208,8.01941068120314e-05,0.0120556543837357,0.0227353016688062,-1e-04,0.518424396442186,0.518424396442186,NA,0.0166075809021601,0.0166075809021601,0.550780432541296
"c3",0.00172083862770013,0.00172083862770013,-0.700680686149937,0.0134749596160897,0.0134749596160897,0.000191757768994248,0.0112035578144854,0.0191334610472541,-0.000305082592121982,0.518424396442186,0.518424396442186,NA,0.0134607989707751,0.0134607989707751,0.491144938055909
"c4",-0.00084561626429479,-0.000846251588310038,-0.718399364675985,0.00138854594449887,0.00138853691659311,8.19222260589542e-05,0.00136099110546379,0.00177433290978399,-0.000100254129606099,0.916137229987294,0.916137229987294,NA,0.00138749665819568,0.00138748871664549,0.516179465298602
"b1",0.000704701397712834,0.000705082592121982,-0.118018551461245,0.000261109634357288,0.00026111704792574,0.000138383065074638,0.000254510800508259,0.000285514612452351,0.000200508259212198,0.923761118170267,0.923761118170267,0,0.000261274459974587,0.000261282401524778,0.0140665857179161
"b2",5.98475222363411e-05,6.16264294790349e-05,-0.103100127064803,0.00153299690990039,0.00153299987419615,7.80815903146228e-05,0.00143773824650572,0.00173036848792884,1e-04,0.786531130876747,0.786531130876747,0,0.00153105259212198,0.00153105576874206,0.0107076185768742
"b3",-0.00142998729351969,-0.0014297331639136,-0.134858449809403,0.000882356605979482,0.000882366875628454,0.000172053856626931,0.000891994917407878,0.00103545108005083,0.000264040660736976,0.903430749682338,0.903430749682338,0,0.000883280304955527,0.000883289834815756,0.0183586367217281
"b4",3.04955527318932e-06,3.43074968233799e-06,-0.0824035578144854,9.50427642252765e-05,9.50379907595113e-05,5.25700382164369e-05,0.00010012706480305,0.000103684879288437,1e-04,0.949174078780178,0.949174078780178,0,9.49220076238882e-05,9.49172426937738e-05,0.00684284958068615
"r1",-0.000278144853875476,-0.000278144853875476,0.665135959339263,9.18930586405683e-05,9.18930586405683e-05,2.01490154271291,1e-04,0,-10229193148821.9,0.945362134688691,0.945362134688691,1,9.18536594663278e-05,9.18536594663278e-05,2.45474715644219
"r2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
